Tahun,Kode_Reporter,Negara_Reporter,Kode_Mitra,Negara_Mitra,Kode_Arus,Arus_Perdagangan,Kode_HS,Nama_Barang,Satuan_Kuantitas,Kuantitas,Berat_Bersih_Kg,Nilai_Impor_USD,Dilaporkan_Langsung
2024,360,Indonesia,156,China,M,Import,890190,"Vessels; n.e.c. in heading no. 8901, for the transport of goods and other vessels for the transport of both persons and goods",N/A,0.0,309793014.0,402301919.0,True
2024,360,Indonesia,156,China,M,Import,851761,Base stations,N/A,0.0,2061896.0,218958692.0,True
2024,360,Indonesia,156,China,M,Import,999999,Commodities not specified according to kind,N/A,0.0,0.0,201725107.0,False
2024,360,Indonesia,156,China,M,Import,846599,"Machine-tools; for working wood, cork, bone, hard rubber, hard plastics or similar hard materials; n.e.c. in heading no. 8465",N/A,0.0,40700734.0,197091079.0,True
2024,360,Indonesia,156,China,M,Import,840681,"Turbines; steam and other vapour turbines, (for other than marine propulsion), of an output exceeding 40MW",N/A,0.0,25930933.0,192492206.0,True
2024,360,Indonesia,156,China,M,Import,870410,"Vehicles; dumpers, designed for off-highway use, for transport of goods",N/A,0.0,36583857.0,165316948.0,True
2024,360,Indonesia,156,China,M,Import,847420,"Machines; for crushing or grinding earth, stone, ores or other mineral substances",N/A,0.0,35086227.0,124473304.0,True
2024,360,Indonesia,156,China,M,Import,847780,"Machinery; for working rubber or plastics or for the manufacture of products from these materials, n.e.c. in this chapter",N/A,0.0,20127641.0,120849706.0,True
2024,360,Indonesia,156,China,M,Import,842833,"Elevators and conveyors; continuous-action, for goods or materials, belt type, n.e.c. in item no. 8428.20 or 8428.31",N/A,0.0,25062560.0,101793404.0,True
2024,360,Indonesia,156,China,M,Import,842619,"Cranes; transporter, gantry and bridge cranes",N/A,0.0,24507668.0,99460633.0,True
2024,360,Indonesia,156,China,M,Import,860900,Containers; (including containers for transport of fluids) specially designed and equipped for carriage by one or more modes of transport,N/A,0.0,101722627.0,94232383.0,True
2024,360,Indonesia,156,China,M,Import,842649,"Cranes; self-propelled derricks and cranes, not on tyres, n.e.c. in heading no. 8426",N/A,0.0,36247198.0,86058505.0,True
2024,360,Indonesia,156,China,M,Import,845521,Metal-rolling mills; hot or combination hot and cold rolling mills,N/A,0.0,9723207.0,77255647.0,True
2024,360,Indonesia,156,China,M,Import,845420,Ingot moulds and ladles; of a kind used in metallurgy or in metal foundries,N/A,0.0,12736095.0,72825165.0,True
2024,360,Indonesia,156,China,M,Import,852859,"Monitors other than cathode-ray tube; n.e.c. in subheading 8528.52, whether or not colour",N/A,0.0,3439699.0,60097469.0,True
